2025-06-13 14:37:06,272 - INFO - --- INÍCIO DA EXECUÇÃO DO /analyze_document/ --- [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:06,273 - INFO - local_temp_filepath (base): /tmp/da1afd39-0d06-4589-ae40-50be0f12a19f [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:06,274 - INFO - Processando upload de arquivo: 6926_07_02_2025.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:06,274 - INFO - Tentando salvar arquivo em '/tmp/da1afd39-0d06-4589-ae40-50be0f12a19f.pdf' [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:11,586 - INFO - Arquivo '6926_07_02_2025.pdf' salvo temporariamente em '/tmp/da1afd39-0d06-4589-ae40-50be0f12a19f.pdf'. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:11,587 - INFO - Iniciando upload para S3 para a chave: textract_uploads/56cff994-96df-42b7-acff-dbb0b4817092.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:11,587 - INFO - Tentando fazer upload do arquivo local: /tmp/da1afd39-0d06-4589-ae40-50be0f12a19f.pdf para o bucket: teste-textract-conrado com a chave: textract_uploads/56cff994-96df-42b7-acff-dbb0b4817092.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:28,203 - INFO - Upload de '/tmp/da1afd39-0d06-4589-ae40-50be0f12a19f.pdf' para s3://teste-textract-conrado/textract_uploads/56cff994-96df-42b7-acff-dbb0b4817092.pdf concluído com sucesso. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:28,205 - INFO - Upload para S3 concluído. [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:28,207 - INFO - Iniciando job do Textract para a chave S3: textract_uploads/56cff994-96df-42b7-acff-dbb0b4817092.pdf [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:29,335 - INFO - Job do Textract iniciado com Job ID: 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:29,336 - INFO - Aguardando conclusão do job do Textract... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:29,495 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:34,659 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:39,839 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:45,002 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:50,173 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:37:55,344 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:00,520 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:05,701 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
2025-06-13 14:38:10,873 - INFO - Job 9062be98319573709e57382483b26cf1633cd87eb968c8955243e06a89b15d96 ainda em andamento. Verificando novamente em 5 segundos... [method=POST, endpoint=/analyze_document/, status_code=None]
